CÓDIGO,CÓDIGO PROVEEDOR,CLASIFICACIÓN,DESCRIPCIÓN,PESENTACIÓN,CATEGORIA ABASTECIMIENTO, REFERENCIA CONSUMO UNITARIO ANUAL 2019,CANTIDAD VENDIDA HS AÑO 2019,ABC,Marca Ofertada,Precio  unitario ofertado paraComplejo Uruca,% descuento,DESCUENTO,IVA,PRECIO FINAL,Columna1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M02089,16130042,,ACIDO FUSIDICO PARCHE ,Parche unitario, No Almacenable,1736,130,C,LEO," ₡1,187.00 ",20%, 237.40 ,2%,968.59,FUCIDIN INTERTULLE 10X10CM * 10 UNID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX006,no disponible,,ÁCIDO POLIACRÍLICO,Tubo máximo 10g,No Lom,19,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX011,10040195,,ACIDO VALPROICO 200 MG/ML,Frasco 40mL,No Lom,129,,B,," ₡11,620.00 ",25%," 2,905.00 ",2%,8889.30,DEPAKENE JARABE 250MG/5ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09341,,,ADENOSINA 6 MG / 2 ML SOLUCIÓN INYECTABLE,Ampolla,Transito,4,,C,adinocort," ₡10,092.88 ",20%," 2,018.58 ",2%,8235.79,ADINOCOR X 6 AMPOLLAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX012,10011858,,ALBENDAZOL 200 MG TABLETA,Tableta unitario,No Lom,22,1020,C,GENFAR," ₡1,367.00 ",20%, 273.40 ,2%,1115.47,ALBENDAZOL GENFAR 200 MG X 2 TABS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04146,no disponible,,ALBUMINA HUMANA 20 % DE 50 ML ,Frasco,Almacenable,1469,,B,, no disponible ,25%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M05004,10131925,,ALCOHOL 70 ° ,Litro,Almacenable,1010,2017,C,MALICK," ₡2,370.00 ",20%, 474.00 ,2%,1933.92,ALCOHOL FRICCIONES 950 ML X 1 UD ( AZUL).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M05007,10131928,,ALCOHOL 90 °,Litro,Almacenable,19,3743,C,MALICK," ₡2,991.00 ",20%, 598.20 ,2%,2440.66,ALCOHOL DESNATURALIZADO 950 ML X 1 UD (BLANCO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX013,no disponible,,"ALFACALCIDOL 0,25 MCG CÁPSULA",Cápsula unitario,No Lom,570,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX015,10010412,,ALOPURINOL 300 MG TABLETA,Tableta unitario,No Lom,2315,10440,B,RAVEN, ₡365.00 ,25%, 91.25 ,2%,279.23,HIPURAMINA *30 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX016,11010001,,"ALPRAZOLAM 0,5 MG TABLETA",Tableta unitario,No Lom,5386,2100,B,GUTIS, ₡315.00 ,25%, 78.75 ,2%,240.98,PSICOTROPICO ANSIOLIT 0.5MGX100 PSICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04003,no disponible,Críticos,ALTEPLASA 50 MG ,Polvo y disolvente,Transito,1,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M02004,10132302,,ALUMINIO ACETATO POLVO 2G ,Sobre ,Almacenable,137532,50,B,CHEMO, ₡585.00 ,25%, 146.25 ,2%,447.53,ACETATO ALUMINIO POLVO CHEMO X 50 SOB.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01107,10010481,,ALUMINIO HIDROXIDO CON MAGNESIO TABLETA MASTICABLE,Tableta unitario,Z,2499,20850,B,SANOFI, ₡142.00 ,25%, 35.50 ,2%,108.63,MAALOX PLUS MENTA X 50 TABLETAS MAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M08001,no disponible,,AMFOTERICINA  B 50MG. ,Frasco inyectable ,Z,1,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04004,16030025,,"AMIKACINA BASE 500 MG (COMO SULFATO DE AMIKACINA)
SOLUCIÓN INYECTABLE",Ampolla,Almacenable,1098,20,C,NORMO," ₡5,974.00 ",20%," 1,194.80 ",2%,4874.78,AMIKACINA NORMON 500MG*1 AMPOLLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04007,no disponible,,AMINOFILINA 250 MG. ,Frasco inyectable ,Transito,10,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09017,no disponible,,AMIODARONA 150 MG/3 ML ,Ampolla,Transito,90,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09018,10011273,,AMIODARONA CLORHIDRATO 200 MG ,Tableta unitario,Z,132,360,C,SANOFI, ₡425.00 ,20%, 85.00 ,2%,346.80,CORDARONE 200 MG *30 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01013,,,AMITRIPTILINA  25 MG ,Tableta unitario,Almacenable,172531,9690,A,GUTIS, ₡260.00 ,30%, 78.00 ,2%,185.64,GUTIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01010,no disponible,,AMITRIPTILINA 10 MG ,Tableta unitario,Almacenable,41413,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01018,10011947,,AMLODIPINO 5 MG ,Tableta unitario,Almacenable,10513,2640,C,GLOBAL , ₡207.00 ,20%, 41.40 ,2%,168.91,ISTIN 5 MG X 30 TABS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09342,16010082,Críticos,AMOXICILINA + ACIDO CLAVULONICO 875 MG/125 MG ,Tableta unitario,Z,12370,4960,A,NORMON, ₡742.00 ,30%, 222.60 ,2%,529.79,AMOXICILINA/CLAV. NORMON 875/125MG *20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09022,16040002,,AMOXICILINA 250 MG/CTA,Frasco 60-100mL,Z,48,62,B,LA SANTE," ₡3,737.00 ",25%, 934.25 ,2%,2858.81,AMOXICILINA LA SANTE 250MG/5ML.100ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01015,16010065,,AMOXICILINA 500 MG ,Cápsula unitario,Almacenable,17553,14350,A,GENFAR, ₡307.04 ,30%, 92.11 ,2%,219.23,AMOXICILINA GENFAR 500 MG*50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09392,16040020,,"AMOXICILINA CON ÁCIDO CLAVULÁNICO 600MG + 42,9 MG/5ML",Frasco de 70 a 100mL,Z,42,130,C,UNIPHARM," ₡24,145.00 ",20%," 4,829.00 ",2%,19702.32,CLAMICIL 600 BID SUSPENSION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04009,,,AMPICILINA 500 MG ,Frasco inyectable ,Transito,8662,,A,," ₡2,982.00 ",30%, 894.60 ,2%,2129.15,AMPICILINA 500 MG. UNIDAD VITALIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09501,16010055,,AMPICILINA CON SULBACTAM 375 MG (SULTAMICILINA),Tableta unitario,Transito,0,,C,," ₡2,320.00 ",20%, 464.00 ,2%,1893.12,UNASYN 375 MG *20 TABS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09386,16030012,,AMPICILINA SÓDICA 1 G / SULBACTAM SÓDICO 500 MG ,Frasco inyectable ,Almacenable,1402,,B,PFIZER," ₡10,120.00 ",25%," 2,530.00 ",2%,7741.80,UNASYN 1.5 GRS IM/IV POLVO SOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M02007,10132091,,ANABÓLICO CON ANTIBIÓTICO AEROSOL ,Spray 30g,Almacenable,2659,7055,B,UNIPHARM neobol," ₡4,500.00 ",25%," 1,125.00 ",2%,3442.50,NEOBOL SPRAY 30 G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX218,,Críticos,ANIDULAFUNGINA 100 MG POLVO LIOFILIZADO PARA INYECCIÓN ,Polvo para inyección,No Lom,166,,B,ekalta," ₡273,028.00 ",25%," 68,257.00 ",2%,208866.42,ECALTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX020,10110017,,ANTIHEMORROIDAL SUPOSITORIO,Supositorio individual,No Lom,60,1660,C,ALCON, ₡731.00 ,20%, 146.20 ,2%,596.50,PROCTO-GLYVENOL 400 MG*5 SUPOS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09025,10110016,,ANTIHEMORROIDAL UNGÜENTO O CREMA,Tubo de 30 A 60 GRAMOS ,Z,207,450,C,ALCON," ₡6,432.00 ",20%," 1,286.40 ",2%,5248.51,PROCTO-GLYVENOL CREMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01006,10010112,,ATENOLOL 50 MG***,Tableta unitario,Almacenable,3325,88440,B,RAVEN, ₡173.91 ,25%, 43.48 ,2%,133.04,ATENOLOL RAVEN 50MG *30 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09343,,,ATRACURIO  BESILATO 10 M/ML,"Ampolla de 2,5mL",Almacenable,3749,,B,," ₡8,292.00 ",25%," 2,073.00 ",2%,6343.38,ATRACURIO  BESILATO 10 M/ML X 5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04010,,,"ATROPINA SULFATO 0,5 MG AMPOLLA ",Ampolla,Almacenable,3617,,B,," ₡1,963.00 ",25%, 490.75 ,2%,1501.70,ATROPINA 0.5/1ML AMPOLLA SELECTHARMA X 25UND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09027,16010011,,AZITROMICINA 500 MG/TABLETA,Tableta unitario,Z,60,8589,C,GENFAR," ₡2,160.00 ",20%, 432.00 ,2%,1762.56,AZITROMICINA GENFAR X 3 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09026,,,AZTREONAM 1G POLVO LIOFILIZADO PARA INYECCIÓN,Polvo para inyección,Z,230,,B,tigazil," ₡66,677.07 ",25%," 16,669.27 ",2%,51007.96,TYGACIL PARA INY 50 mg / VIAL LIOFILIZADO PARA SOL INY (10mg/ml) x 10 FRASCOS [HOSPITALARIA] TIGECICLINA 50MG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04011,no disponible,,AZUL DE METILENO 1%,Ampolla,Z,7,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX024,40410343,,BÁLSAMO RELIPIDIZANTE CREMA,Envase 200mL,No Lom,19,1,C,BABE," ₡15,814.00 ",20%," 3,162.80 ",13%,14295.86,BABE EMOLIENTE 200ML.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX025,,,BÁLSAMO REPARADOR CALMANTE PANTENOL + MADECASSOSIDE CREMA,Envase 40mL,No Lom,11,,C,cicaplast," ₡6,447.00 ",20%," 1,289.40 ",13%,5828.09,CICAPLAST BAUME B5 40ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX179,,,BARRA ANTIBACTERIAL CETAPHYL,Barra 127g,No Lom,0,,C,, no disponible ,20%,#VALUE!,,#VALUE!,no disponible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M02013,10100063,,"BECLOMETASONA DIPROPIONATO 0,05% P/P
SUSPENSIÓN ",AEROSOL NASAL 200 DOSIS,Almacenable,837,0,B,GSK," ₡20,993.00 ",25%," 5,248.25 ",2%,16059.65,BECONASE AQUA SUSPENSION NASAL 200 DOSIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M02010,10132553,,"BECLOMETASONA DIPROPIONATO 100 MCG/DOSIS
",INHALADOR ORAL 200 DOSIS,Almacenable,3357,0,C,ALTERNATIVA," ₡10,276.00 ",20%," 2,055.20 ",2%,8385.22,BECLOMETASONA DIPROPIONATO 100MCG X 200 DOSIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09028,10131965,,BENZALCONIO CLORURO 1 MG /LIDOCAINA CLORHIDRATO 20 MG spray bucal,Frasco de 20-30mL,Z,5,774,C,INFARMA," ₡6,728.65 ",20%," 1,345.73 ",2%,5490.58,BUCALEX SOLUCION SPRAY 15ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01020,,Críticos,BETAHISTIDINA 16  MG,Tableta unitario,Transito,23176,,A,betahistin, ₡558.00 ,30%, 167.40 ,2%,398.41,BETISTIN 16 MG X 20 COMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M02019,10132193,,BETAMETASONA 0.1% Crema,Tubo 15g,Almacenable,4118,623,B,alcames," ₡2,062.00 ",25%, 515.50 ,2%,1577.43,BETAMETASONA ALCAMES CREMA 15 GRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M08006,no disponible,,BETANECOL CLORURO DE 10MG ,Tableta unitario,Almacenable,10205,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01022,10010048,,BIPERIDENO 2 MG / TABLETA ,Tableta unitario,Z,1771,,B,, ₡472.36 ,25%, 118.09 ,2%,361.36,AKINETON 2MG * 50 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M02022,no disponible,,BISACODILO 10MG SUPOSITORIO ,Supositorio individual,Almacenable,32493,,B,, no disponible ,25%,#VALUE!,,#VALUE!,no disponible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX026,10011142,,"BISOPROLOL 2,5 MG 
TABLETA",Tableta unitario,No Lom,810,1530,C,GLOBAL , ₡482.76 ,20%, 96.55 ,2%,393.93,BISOBLOC 2.5MG X 30 TAB.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX027,40410261,,BLOQUEADOR SOLAR 100 FPS ,Frasco de 100mL,No Lom,27,,C,," ₡19,323.00 ",20%," 3,864.60 ",2%,15767.57,PHOTODERM MAX LAIT 100 ML.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09178,40410174,,BLOQUEADOR SOLAR DE 45 -50 FPS LOCION ,,Transito,1299,,B,," ₡10,615.00 ",25%," 2,653.75 ",2%,8120.48,EUCERIN SUN SPF50 + FACIAL TOQUE SECO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09032,,,BRIMONIDINA  TARTRATO 0.2% FRASCO GOTERO,Frasco 5-10mL,Almacenable,89,,C,BRIMOPRESS," ₡13,650.00 ",20%," 2,730.00 ",2%,11138.40,BRIMOPRES ofta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX031,10011640,,BROMURO DE OTILONIO 40 MG,Tableta unitario,No Lom,1060,36700,B,STEIN, ₡582.00 ,25%, 145.50 ,2%,445.23,COLICA 40 MG * 100 CÁPSULAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX032,10100087,,"BROMURO DE TIOTROPIO 0,282 MG/1ML INHALADOR ORAL",Inhalador  Respimat,No Lom,317,,B,CASSARA," ₡3,854.00 ",25%, 963.50 ,2%,2948.31,CASSARA SALBUTRAL 100 MCG/DOSIS 250 DOSIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX033,10100040,,BUDESONIDA 320 + FORMOTEROL 9MCG SUSPENSION PARA INHALACIÓN ORAL ,Inhalador oral 60 dosis,No Lom,68,,C,," ₡43,745.00 ",20%," 8,749.00 ",2%,35695.92,SYMBICORT TURBUHALER 320/9MCG.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX034,,Críticos,"BUDESONIDA AMPOLLA 0,5 MG/ML SUSPENSION PARA INHALACIÓN",Ampolla 2mL,No Lom,433,,C,pulmicort," ₡63,945.00 ",20%," 12,789.00 ",2%,52179.12,PULMICORT 0.5 MG/ML 2ML X 20 AMP (RESG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04083,,,BUPIVACAINA 0.5% (CX240),Frasco inyectable ,Almacenable,4136,,B,," ₡6,447.00 ",25%," 1,611.75 ",2%,4931.96,BUPIVACAINA AMPOLLAS 0.5/10ML SANDERSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M02025,10131969,,CALAMINA LOCION, FRASCO 75-120 ML.,Z,45,170,C,LACOFA," ₡3,463.00 ",20%, 692.60 ,2%,2825.81,CALAMINA LOCION LA COFA 120 ML.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX037,10010199,,CALCIO 600 MG + VITAMINA D TABLETA,Tableta unitario,No Lom,1020,7140,B,PROCAPS, ₡367.00 ,25%, 91.75 ,2%,280.76,CITRAGEL * 30 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04013,,,CALCIO GLUCONATO 10 % AMPOLLA ,Ampolla,Almacenable,920,,C,," ₡4,798.00 ",20%, 959.60 ,2%,3915.17,GLUCONATO DE CALCIO AMPOLLA 10ML X100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01025,10010159,,CARBAMAZEPINA 200 MG ,Tableta unitario,Almacenable,46413,4300,A,NORMON, ₡218.82 ,30%, 65.65 ,2%,156.24,CARBAMACEPINA NORMON 200MG *50 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX038,10011136,,"CARBAMAZEPINA 400 MG ***
TABLETA",Tableta unitario,No Lom,630,,C,, ₡437.00 ,20%, 87.40 ,2%,356.59,CARBAMACEPINA NORMON 400 X 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX040,no disponible,,CARBONATO DE SEVELAMERO 800 MG TABLETA,Frasco,No Lom,362,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX017,10070086,,CARBOXIMETILCELULOSA GEL OFTÁLMICO,Tubo 10 gramos,No Lom,1,1,C,ALLEGRAN," ₡11,875.00 ",20%," 2,375.00 ",2%,9690.00,OPTIVE SOLUCION OFTALMICA GTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01027,10010211,Críticos,CARVEDILOL 6.25 MG***,Tableta unitario,Z,2928,,B,, ₡250.00 ,25%, 62.50 ,2%,191.25,CORYOL 6.25MG *30 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09385,,,CASPOFUNGINA 50 MG (COMO ACETATO) ,Frasco inyectable ,Transito,164,,B,," ₡280,770.00 ",25%," 70,192.50 ",2%,214789.05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01028,16010017,,CEFALEXINA 500 MG CAPSULA ,Cápsula unitario,Almacenable,254817,1000,A,LA SANTE, ₡453.00 ,30%, 135.90 ,2%,323.44,CEFALEXINA LA SANTE 500*20 CAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09045,16040001,,CEFALEXINA PARA SUSPENSIÓN 250 MG/CTA,Frasco 60mL-100mL,Z,54,66,C,MK," ₡5,365.00 ",20%," 1,073.00 ",2%,4377.84,CEFALEXINA MK 250MG/5ML SUSP 60ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04016,no disponible,,"CEFALOTINA 1 G (COMO SAL SÓDICA)
POLVO LIOFILIZADO PARA INYECCIÓN",Frasco inyectable ,Almacenable,20771,,A,, no disponible ,30%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04017,,,CEFEPIME 1 GRAMO POLVO LIOFILIZADO PARA INYECCIÓN,Frasco inyectable ,Transito,459,,B,," ₡12,390.00 ",25%," 3,097.50 ",2%,9478.35,CEFEPIME VITALIS AMP 1 G UNIDAD VITALIS X10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04019,,,"CEFOTAXIMA BASE 1 G (COMO SAL SÓDICA)
POLVO LIOFILIZADO PARA INYECCIÓN",Frasco inyectable ,Almacenable,18732,,A,," ₡5,817.00 ",30%," 1,745.10 ",2%,4153.34,CEFOTAXIMA 1GR. UNIDAD  FRASCO VITALIS X10 UNID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX241,,,CEFTAROLINA 600 MG,Frasco inyectable ,No Lom,55,,C,," ₡61,559.00 ",20%," 12,311.80 ",2%,50232.14,Zinfor  x 10 VIAS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04021,,,"CEFTAZIDIMA 1 G (COMO PENTAHIDRATO)
POLVO LIOFILIZADO PARA INYECCIÓN",Frasco inyectable ,Almacenable,6830,,B,," ₡6,069.00 ",25%," 1,517.25 ",2%,4642.79,CEFTAZIDIMA 1GR. UNIDAD FRASCO VITALIS X 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX234,no disponible,,"CEFTOLOZANO / TAZOBACTAM 1g/0,5g",Frasco inyectable ,No Lom,100,,C,, no disponible ,20%,#VALUE!,,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M04020,16030004,Críticos,CEFTRIAXONA 1 G. ,Frasco inyectable ,Transito,111,492,B,normon," ₡3,960.00 ",25%, 990.00 ,2%,3029.40,CEFTRIAXONA NORMON 1 GR.AMP.IM.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09344,,,CEFUROXIMA 500 MG/TAB,Tableta unitario,Z,0,,C,zamur ," ₡2,308.00 ",20%, 461.60 ,2%,1883.33,ZAMUR 500X 10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09048,10010185,,CELECOXIB 200 MG CÁPSULA,Cápsula unitario,Almacenable,363268,90,A,LA SANTE, ₡615.00 ,30%, 184.50 ,2%,439.11,CELECOXIB LA SANTE 200MG*10 CAPSULAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M01029,10011481,Críticos,CETIRIZA 5 MG / PSEUDOEFEDRINA 120 MG,Cápsula unitario,Transito,5447,152350,B,allerpid d, ₡540.00 ,25%, 135.00 ,2%,413.10,ALLERPID 120MG/5MG X 140 TAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCEX180,10040147,,CETIRIZINA CON PSEUDOEFEDRINA JARABE,Frasco 60mL,No Lom,0,1439,C,GUTIS," ₡9,040.00 ",20%," 1,808.00 ",2%,7376.64,TALERDIN D JARABE 60 ML.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M09051,10010089,,CICLOBENZAPRINA 10 MG ,Tableta unitario,Z,498,31500,C,APO, ₡345.00 ,20%, 69.00 ,2%,281.52,APO CICLOBEZAPRINA 10MG *50 TABLETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
