ARTICULO,NOMBRE_ARTICULO, PRECIO COSTO , precio 4% , Precio Ofrecido sin IVA , PRECIO 20% , PRECIO 30% , PRECIO 40% ,PRECIO 50%,PRECIO 60%,PRECIO 80%,PRECIO 100%,Cost per Drug,Profit Margin 
10132469,ACHEFLAN CREMA 5MG *30 GRAMOS," ₡2,779.41 "," ₡2,890.59 "," ₡3,196.32 "," ₡3,335.29 "," ₡3,613.23 "," ₡3,891.17 "," ₡4,169.12 "," ₡4,447.06 "," ₡5,002.94 "," ₡5,558.82 "," ₡6,531.61 ", (0.81)
10131902,ACICLOVIR LABIAL 5% 5GR LISAN," ₡3,372.55 "," ₡3,507.45 "," ₡3,878.43 "," ₡4,047.06 "," ₡4,384.32 "," ₡4,721.57 "," ₡5,058.83 "," ₡5,396.08 "," ₡6,070.59 "," ₡6,745.10 "," ₡7,925.49 ", (0.81)
10131905,ACICLOVIR TOPICA 10 GRS.LISAN," ₡10,931.37 "," ₡11,368.62 "," ₡12,571.08 "," ₡13,117.64 "," ₡14,210.78 "," ₡15,303.92 "," ₡16,397.06 "," ₡17,490.19 "," ₡19,676.47 "," ₡21,862.74 "," ₡25,688.72 ", (0.81)
10011895,ACICRAN 36 MG X 30 TAB, ₡517.70 , ₡538.41 , ₡595.36 , ₡621.24 , ₡673.01 , ₡724.78 , ₡776.55 , ₡828.32 , ₡931.86 ," ₡1,035.40 "," ₡1,216.60 ", (0.81)
70740020,ACIDO ACETICO QUIFLO 60 ML," ₡2,380.53 "," ₡2,475.75 "," ₡2,737.61 "," ₡2,856.64 "," ₡3,094.69 "," ₡3,332.74 "," ₡3,570.80 "," ₡3,808.85 "," ₡4,284.95 "," ₡4,761.06 "," ₡5,594.25 ", (0.81)
70720002,ACIDO BORICO QUIFLO 1000 GRS, ₡207.96 , ₡216.28 , ₡239.15 , ₡249.55 , ₡270.35 , ₡291.14 , ₡311.94 , ₡332.74 , ₡374.33 , ₡415.92 , ₡488.71 , (0.81)
70720021,ACIDO BORICO QUIFLO 50 GRS QUIFLO," ₡8,318.63 "," ₡8,651.38 "," ₡9,566.42 "," ₡9,982.36 "," ₡10,814.22 "," ₡11,646.08 "," ₡12,477.95 "," ₡13,309.81 "," ₡14,973.53 "," ₡16,637.26 "," ₡19,548.78 ", (0.81)
10011002,ACTEIN  EFERV 600MG * 30 TAB," ₡5,382.35 "," ₡5,597.64 "," ₡6,189.70 "," ₡6,458.82 "," ₡6,997.06 "," ₡7,535.29 "," ₡8,073.53 "," ₡8,611.76 "," ₡9,688.23 "," ₡10,764.70 "," ₡12,648.52 ", (0.81)
10020042,ACTEIN 100MG*30 SOBRES," ₡5,170.00 "," ₡5,376.80 "," ₡5,945.50 "," ₡6,204.00 "," ₡6,721.00 "," ₡7,238.00 "," ₡7,755.00 "," ₡8,272.00 "," ₡9,306.00 "," ₡10,340.00 "," ₡12,149.50 ", (0.81)
50510048,ACTUA PRUEBA P/DETENCION DROGAS..," ₡9,441.18 "," ₡9,818.83 "," ₡10,857.36 "," ₡11,329.42 "," ₡12,273.53 "," ₡13,217.65 "," ₡14,161.77 "," ₡15,105.89 "," ₡16,994.12 "," ₡18,882.36 "," ₡22,186.77 ", (0.81)
10132506,ACUNTIO ATOMIZADOR *30ML," ₡4,877.45 "," ₡5,072.55 "," ₡5,609.07 "," ₡5,852.94 "," ₡6,340.69 "," ₡6,828.43 "," ₡7,316.18 "," ₡7,803.92 "," ₡8,779.41 "," ₡9,754.90 "," ₡11,462.01 ", (0.81)
10132517,ACUNTIO CREMA 20 GRS," ₡28,264.71 "," ₡29,395.30 "," ₡32,504.42 "," ₡33,917.65 "," ₡36,744.12 "," ₡39,570.59 "," ₡42,397.07 "," ₡45,223.54 "," ₡50,876.48 "," ₡56,529.42 "," ₡66,422.07 ", (0.81)
13010001,ADELEX 120*45 CAPSULAS**FRIO**," ₡33,392.16 "," ₡34,727.85 "," ₡38,400.98 "," ₡40,070.59 "," ₡43,409.81 "," ₡46,749.02 "," ₡50,088.24 "," ₡53,427.46 "," ₡60,105.89 "," ₡66,784.32 "," ₡78,471.58 ", (0.81)
10010041,ADENURIC 80MG *28 COMPRIMIDOS, ₡936.27 , ₡973.72 ," ₡1,076.71 "," ₡1,123.52 "," ₡1,217.15 "," ₡1,310.78 "," ₡1,404.41 "," ₡1,498.03 "," ₡1,685.29 "," ₡1,872.54 "," ₡2,200.23 ", (0.81)
10010042,ADVIL 200MG *12 TABLETAS," ₡7,718.76 "," ₡8,027.51 "," ₡8,876.57 "," ₡9,262.51 "," ₡10,034.39 "," ₡10,806.26 "," ₡11,578.14 "," ₡12,350.02 "," ₡13,893.77 "," ₡15,437.52 "," ₡18,139.09 ", (0.81)
10040014,AERIUS 0.5MG/ML JARABE X 60ML," ₡7,700.98 "," ₡8,009.02 "," ₡8,856.13 "," ₡9,241.18 "," ₡10,011.27 "," ₡10,781.37 "," ₡11,551.47 "," ₡12,321.57 "," ₡13,861.76 "," ₡15,401.96 "," ₡18,097.30 ", (0.81)
10010044,AERO-OM FORTE 125MG*20 COMPRIMIDOS," ₡4,500.00 "," ₡4,680.00 "," ₡5,175.00 "," ₡5,400.00 "," ₡5,850.00 "," ₡6,300.00 "," ₡6,750.00 "," ₡7,200.00 "," ₡8,100.00 "," ₡9,000.00 "," ₡10,575.00 ", (0.81)
10010046,AFEXINA GUTIS 180MG  * 10 TABLETAS," ₡3,926.47 "," ₡4,083.53 "," ₡4,515.44 "," ₡4,711.76 "," ₡5,104.41 "," ₡5,497.06 "," ₡5,889.71 "," ₡6,282.35 "," ₡7,067.65 "," ₡7,852.94 "," ₡9,227.20 ", (0.81)
10040016,AFEXINA PEDIATRICO 150 ML," ₡3,362.75 "," ₡3,497.26 "," ₡3,867.16 "," ₡4,035.30 "," ₡4,371.58 "," ₡4,707.85 "," ₡5,044.13 "," ₡5,380.40 "," ₡6,052.95 "," ₡6,725.50 "," ₡7,902.46 ", (0.81)
10100002,AFRIN ATOMIZADOR NASAL ADULTO 15 ML," ₡3,465.69 "," ₡3,604.32 "," ₡3,985.54 "," ₡4,158.83 "," ₡4,505.40 "," ₡4,851.97 "," ₡5,198.54 "," ₡5,545.10 "," ₡6,238.24 "," ₡6,931.38 "," ₡8,144.37 ", (0.81)
10080001,AFRIN GOTAS NASAL INFANTIL 15 ML," ₡3,598.04 "," ₡3,741.96 "," ₡4,137.75 "," ₡4,317.65 "," ₡4,677.45 "," ₡5,037.26 "," ₡5,397.06 "," ₡5,756.86 "," ₡6,476.47 "," ₡7,196.08 "," ₡8,455.39 ", (0.81)
10080011,AFRIN PURESEA BEBE 20 ML," ₡1,818.63 "," ₡1,891.38 "," ₡2,091.42 "," ₡2,182.36 "," ₡2,364.22 "," ₡2,546.08 "," ₡2,727.95 "," ₡2,909.81 "," ₡3,273.53 "," ₡3,637.26 "," ₡4,273.78 ", (0.81)
10131908,AFTOTEX SOLUCION 15 ML.," ₡3,686.27 "," ₡3,833.72 "," ₡4,239.21 "," ₡4,423.52 "," ₡4,792.15 "," ₡5,160.78 "," ₡5,529.41 "," ₡5,898.03 "," ₡6,635.29 "," ₡7,372.54 "," ₡8,662.73 ", (0.81)
10131909,AFTOTEX SPRAY 30 ML, ₡622.55 , ₡647.45 , ₡715.93 , ₡747.06 , ₡809.32 , ₡871.57 , ₡933.83 , ₡996.08 ," ₡1,120.59 "," ₡1,245.10 "," ₡1,462.99 ", (0.81)
50521818,AGUA BIDESTILADA AMPOLLA 20 ML, ₡650.44 , ₡676.46 , ₡748.01 , ₡780.53 , ₡845.57 , ₡910.62 , ₡975.66 ," ₡1,040.70 "," ₡1,170.79 "," ₡1,300.88 "," ₡1,528.53 ", (0.81)
10131913,AGUA FLORIDA LACOFA 120 ML, ₡392.16 , ₡407.85 , ₡450.98 , ₡470.59 , ₡509.81 , ₡549.02 , ₡588.24 , ₡627.46 , ₡705.89 , ₡784.32 , ₡921.58 , (0.81)
10131910,AGUA OXIGENADA 10 VOL 60 ML LACOFA.," ₡6,469.15 "," ₡6,727.92 "," ₡7,439.52 "," ₡7,762.98 "," ₡8,409.90 "," ₡9,056.81 "," ₡9,703.73 "," ₡10,350.64 "," ₡11,644.47 "," ₡12,938.30 "," ₡15,202.50 ", (0.81)
60010085,AGUACATIL *30," ₡2,090.00 "," ₡2,173.60 "," ₡2,403.50 "," ₡2,508.00 "," ₡2,717.00 "," ₡2,926.00 "," ₡3,135.00 "," ₡3,344.00 "," ₡3,762.00 "," ₡4,180.00 "," ₡4,911.50 ", (0.81)
50520027,AGUJA HIPODERMICA 22* 1-1/2*100 NIPRO," ₡2,090.00 "," ₡2,173.60 "," ₡2,403.50 "," ₡2,508.00 "," ₡2,717.00 "," ₡2,926.00 "," ₡3,135.00 "," ₡3,344.00 "," ₡3,762.00 "," ₡4,180.00 "," ₡4,911.50 ", (0.81)
50520023,AGUJA HIPODERMICA 23*1*100 NIPRO," ₡2,090.00 "," ₡2,173.60 "," ₡2,403.50 "," ₡2,508.00 "," ₡2,717.00 "," ₡2,926.00 "," ₡3,135.00 "," ₡3,344.00 "," ₡3,762.00 "," ₡4,180.00 "," ₡4,911.50 ", (0.81)
50520623,AGUJA HIPODERMICA 25 X1 1/2 NIPRO," ₡2,090.00 "," ₡2,173.60 "," ₡2,403.50 "," ₡2,508.00 "," ₡2,717.00 "," ₡2,926.00 "," ₡3,135.00 "," ₡3,344.00 "," ₡3,762.00 "," ₡4,180.00 "," ₡4,911.50 ", (0.81)
50520025,AGUJA HIPODERMICA 27*1/2*100 NIPRO," ₡2,055.00 "," ₡2,137.20 "," ₡2,363.25 "," ₡2,466.00 "," ₡2,671.50 "," ₡2,877.00 "," ₡3,082.50 "," ₡3,288.00 "," ₡3,699.00 "," ₡4,110.00 "," ₡4,829.25 ", (0.81)
50520934,AGUJA HIPODERMICA NIPRO 18G X 1  1/1'' *100," ₡1,840.00 "," ₡1,913.60 "," ₡2,116.00 "," ₡2,208.00 "," ₡2,392.00 "," ₡2,576.00 "," ₡2,760.00 "," ₡2,944.00 "," ₡3,312.00 "," ₡3,680.00 "," ₡4,324.00 ", (0.81)
50520904,AGUJA HIPODERMICA NIPRO 22G X 1 ¨*100," ₡2,090.00 "," ₡2,173.60 "," ₡2,403.50 "," ₡2,508.00 "," ₡2,717.00 "," ₡2,926.00 "," ₡3,135.00 "," ₡3,344.00 "," ₡3,762.00 "," ₡4,180.00 "," ₡4,911.50 ", (0.81)
50520935,AGUJA HIPODERMICA NIPRO 25G X 1'' *100," ₡2,530.00 "," ₡2,631.20 "," ₡2,909.50 "," ₡3,036.00 "," ₡3,289.00 "," ₡3,542.00 "," ₡3,795.00 "," ₡4,048.00 "," ₡4,554.00 "," ₡5,060.00 "," ₡5,945.50 ", (0.81)
50520405,AGUJA HIPODERMICA NIPRO 30*1/2 *100, ₡5.00 , ₡5.20 , ₡5.75 , ₡6.00 , ₡6.50 , ₡7.00 , ₡7.50 , ₡8.00 , ₡9.00 , ₡10.00 , ₡11.75 , (0.81)
90970114,AJUSTE DE FACTURA., ₡5.00 , ₡5.20 , ₡5.75 , ₡6.00 , ₡6.50 , ₡7.00 , ₡7.50 , ₡8.00 , ₡9.00 , ₡10.00 , ₡11.75 , (0.81)
90970114,AJUSTE DE FACTURA., ₡5.00 , ₡5.20 , ₡5.75 , ₡6.00 , ₡6.50 , ₡7.00 , ₡7.50 , ₡8.00 , ₡9.00 , ₡10.00 , ₡11.75 , (0.81)
90970114,AJUSTE DE FACTURA., ₡5.00 , ₡5.20 , ₡5.75 , ₡6.00 , ₡6.50 , ₡7.00 , ₡7.50 , ₡8.00 , ₡9.00 , ₡10.00 , ₡11.75 , (0.81)
90970114,AJUSTE DE FACTURA.," ₡12,745.00 "," ₡13,254.80 "," ₡14,656.75 "," ₡15,294.00 "," ₡16,568.50 "," ₡17,843.00 "," ₡19,117.50 "," ₡20,392.00 "," ₡22,941.00 "," ₡25,490.00 "," ₡29,950.75 ", (0.81)
10120001,ALBOTHYL GEL VAG 50G," ₡3,240.00 "," ₡3,369.60 "," ₡3,726.00 "," ₡3,888.00 "," ₡4,212.00 "," ₡4,536.00 "," ₡4,860.00 "," ₡5,184.00 "," ₡5,832.00 "," ₡6,480.00 "," ₡7,614.00 ", (0.81)
10132382,ALCADERM CREMA 1% * 30 GRS," ₡2,500.00 "," ₡2,600.00 "," ₡2,875.00 "," ₡3,000.00 "," ₡3,250.00 "," ₡3,500.00 "," ₡3,750.00 "," ₡4,000.00 "," ₡4,500.00 "," ₡5,000.00 "," ₡5,875.00 ", (0.81)
10100005,ALCAMIN  SPRAY DESCONG NASAL 15 ML, ₡696.08 , ₡723.92 , ₡800.49 , ₡835.30 , ₡904.90 , ₡974.51 ," ₡1,044.12 "," ₡1,113.73 "," ₡1,252.94 "," ₡1,392.16 "," ₡1,635.79 ", (0.81)
10131926,ALCOHOL DESNATURALIZADO 250 ML X 1 UD (BLANCO)," ₡1,205.88 "," ₡1,254.12 "," ₡1,386.76 "," ₡1,447.06 "," ₡1,567.64 "," ₡1,688.23 "," ₡1,808.82 "," ₡1,929.41 "," ₡2,170.58 "," ₡2,411.76 "," ₡2,833.82 ", (0.81)
10131927,ALCOHOL DESNATURALIZADO 500 ML X 1 UN (BLANCO), ₡568.63 , ₡591.38 , ₡653.92 , ₡682.36 , ₡739.22 , ₡796.08 , ₡852.95 , ₡909.81 ," ₡1,023.53 "," ₡1,137.26 "," ₡1,336.28 ", (0.81)
10131923,ALCOHOL FRICCIONES 250 ML X 1 UD (AZUL), ₡960.78 , ₡999.21 ," ₡1,104.90 "," ₡1,152.94 "," ₡1,249.01 "," ₡1,345.09 "," ₡1,441.17 "," ₡1,537.25 "," ₡1,729.40 "," ₡1,921.56 "," ₡2,257.83 ", (0.81)
10131924,ALCOHOL FRICCIONES 500 ML X 1 UD (AZUL)," ₡4,783.19 "," ₡4,974.52 "," ₡5,500.67 "," ₡5,739.83 "," ₡6,218.15 "," ₡6,696.47 "," ₡7,174.79 "," ₡7,653.10 "," ₡8,609.74 "," ₡9,566.38 "," ₡11,240.50 ", (0.81)
40410924,ALCOHOL GEL 1900 ML," ₡13,200.00 "," ₡13,728.00 "," ₡15,180.00 "," ₡15,840.00 "," ₡17,160.00 "," ₡18,480.00 "," ₡19,800.00 "," ₡21,120.00 "," ₡23,760.00 "," ₡26,400.00 "," ₡31,020.00 ", (0.81)
90956979,ALCOHOL GEL DISPENSADOR 3750 ML," ₡11,093.14 "," ₡11,536.87 "," ₡12,757.11 "," ₡13,311.77 "," ₡14,421.08 "," ₡15,530.40 "," ₡16,639.71 "," ₡17,749.02 "," ₡19,967.65 "," ₡22,186.28 "," ₡26,068.88 ", (0.81)
10011125,ALDACTONE-A 25MG TAB X 30," ₡3,220.59 "," ₡3,349.41 "," ₡3,703.68 "," ₡3,864.71 "," ₡4,186.77 "," ₡4,508.83 "," ₡4,830.89 "," ₡5,152.94 "," ₡5,797.06 "," ₡6,441.18 "," ₡7,568.39 ", (0.81)
10132036,ALERGEL GEL 50 GRS .," ₡2,568.63 "," ₡2,671.38 "," ₡2,953.92 "," ₡3,082.36 "," ₡3,339.22 "," ₡3,596.08 "," ₡3,852.95 "," ₡4,109.81 "," ₡4,623.53 "," ₡5,137.26 "," ₡6,036.28 ", (0.81)
10132402,ALERGICAL DL GEL 35GR," ₡4,098.04 "," ₡4,261.96 "," ₡4,712.75 "," ₡4,917.65 "," ₡5,327.45 "," ₡5,737.26 "," ₡6,147.06 "," ₡6,556.86 "," ₡7,376.47 "," ₡8,196.08 "," ₡9,630.39 ", (0.81)
10131921,ALERGICAL LIQ 120 ML," ₡37,044.12 "," ₡38,525.88 "," ₡42,600.74 "," ₡44,452.94 "," ₡48,157.36 "," ₡51,861.77 "," ₡55,566.18 "," ₡59,270.59 "," ₡66,679.42 "," ₡74,088.24 "," ₡87,053.68 ", (0.81)
10010054,ALERNO 20MG.*50 TABLETAS," ₡5,617.65 "," ₡5,842.36 "," ₡6,460.30 "," ₡6,741.18 "," ₡7,302.95 "," ₡7,864.71 "," ₡8,426.48 "," ₡8,988.24 "," ₡10,111.77 "," ₡11,235.30 "," ₡13,201.48 ", (0.81)
10010065,ALEVE 220MG.*36 TABLETAS," ₡2,245.10 "," ₡2,334.90 "," ₡2,581.87 "," ₡2,694.12 "," ₡2,918.63 "," ₡3,143.14 "," ₡3,367.65 "," ₡3,592.16 "," ₡4,041.18 "," ₡4,490.20 "," ₡5,275.99 ", (0.81)
10010057,ALEVE EXTRA FUERTE *12 TABLETAS," ₡1,725.49 "," ₡1,794.51 "," ₡1,984.31 "," ₡2,070.59 "," ₡2,243.14 "," ₡2,415.69 "," ₡2,588.24 "," ₡2,760.78 "," ₡3,105.88 "," ₡3,450.98 "," ₡4,054.90 ", (0.81)
10010059,ALEVE LIQUI -GELS *8 TABLETAS," ₡4,754.90 "," ₡4,945.10 "," ₡5,468.14 "," ₡5,705.88 "," ₡6,181.37 "," ₡6,656.86 "," ₡7,132.35 "," ₡7,607.84 "," ₡8,558.82 "," ₡9,509.80 "," ₡11,174.02 ", (0.81)
10010058,ALEVE LIQUI -GELS*24 TABLETAS," ₡24,578.43 "," ₡25,561.57 "," ₡28,265.19 "," ₡29,494.12 "," ₡31,951.96 "," ₡34,409.80 "," ₡36,867.65 "," ₡39,325.49 "," ₡44,241.17 "," ₡49,156.86 "," ₡57,759.31 ", (0.81)
10011810,ALEVE MAX 550MG * 100 TABLETAS ," ₡5,401.96 "," ₡5,618.04 "," ₡6,212.25 "," ₡6,482.35 "," ₡7,022.55 "," ₡7,562.74 "," ₡8,102.94 "," ₡8,643.14 "," ₡9,723.53 "," ₡10,803.92 "," ₡12,694.61 ", (0.81)
10010002,ALEVE MAX 550MG * 20 TABLETAS," ₡2,549.02 "," ₡2,650.98 "," ₡2,931.37 "," ₡3,058.82 "," ₡3,313.73 "," ₡3,568.63 "," ₡3,823.53 "," ₡4,078.43 "," ₡4,588.24 "," ₡5,098.04 "," ₡5,990.20 ", (0.81)
10011929,ALEVE PM X 20 TABS (5956)," ₡19,009.80 "," ₡19,770.19 "," ₡21,861.27 "," ₡22,811.76 "," ₡24,712.74 "," ₡26,613.72 "," ₡28,514.70 "," ₡30,415.68 "," ₡34,217.64 "," ₡38,019.60 "," ₡44,673.03 ", (0.81)
10011126,ALFILO 1 MG*30 TAB, ₡120.00 , ₡124.80 , ₡138.00 , ₡144.00 , ₡156.00 , ₡168.00 , ₡180.00 , ₡192.00 , ₡216.00 , ₡240.00 , ₡282.00 , (0.81)
90955020,ALGODON 10 GRS PROSAN., ₡680.00 , ₡707.20 , ₡782.00 , ₡816.00 , ₡884.00 , ₡952.00 ," ₡1,020.00 "," ₡1,088.00 "," ₡1,224.00 "," ₡1,360.00 "," ₡1,598.00 ", (0.81)
90955024,ALGODON 100 GRS, ₡215.00 , ₡223.60 , ₡247.25 , ₡258.00 , ₡279.50 , ₡301.00 , ₡322.50 , ₡344.00 , ₡387.00 , ₡430.00 , ₡505.25 , (0.81)
90955027,ALGODON 25 GRAMOS, ₡360.00 , ₡374.40 , ₡414.00 , ₡432.00 , ₡468.00 , ₡504.00 , ₡540.00 , ₡576.00 , ₡648.00 , ₡720.00 , ₡846.00 , (0.81)
90955025,ALGODON 50 GRS.," ₡3,877.45 "," ₡4,032.55 "," ₡4,459.07 "," ₡4,652.94 "," ₡5,040.69 "," ₡5,428.43 "," ₡5,816.18 "," ₡6,203.92 "," ₡6,979.41 "," ₡7,754.90 "," ₡9,112.01 ", (0.81)
10040018,ALICOL JARABE 120 ML.," ₡12,980.00 "," ₡13,499.20 "," ₡14,927.00 "," ₡15,576.00 "," ₡16,874.00 "," ₡18,172.00 "," ₡19,470.00 "," ₡20,768.00 "," ₡23,364.00 "," ₡25,960.00 "," ₡30,503.00 ", (0.81)
80810098,ALIMENTUM EYE Q 400G," ₡93,024.51 "," ₡96,745.49 "," ₡106,978.19 "," ₡111,629.41 "," ₡120,931.86 "," ₡130,234.31 "," ₡139,536.77 "," ₡148,839.22 "," ₡167,444.12 "," ₡186,049.02 "," ₡218,607.60 ", (0.81)
10033049,ALIN AMP.1 ML.*100," ₡4,823.53 "," ₡5,016.47 "," ₡5,547.06 "," ₡5,788.24 "," ₡6,270.59 "," ₡6,752.94 "," ₡7,235.30 "," ₡7,717.65 "," ₡8,682.35 "," ₡9,647.06 "," ₡11,335.30 ", (0.81)
10033050,ALIN DEPOT AMPOLLAS," ₡7,696.08 "," ₡8,003.92 "," ₡8,850.49 "," ₡9,235.30 "," ₡10,004.90 "," ₡10,774.51 "," ₡11,544.12 "," ₡12,313.73 "," ₡13,852.94 "," ₡15,392.16 "," ₡18,085.79 ", (0.81)
10010050,ALKA AD*60 TABLETAS," ₡4,936.27 "," ₡5,133.72 "," ₡5,676.71 "," ₡5,923.52 "," ₡6,417.15 "," ₡6,910.78 "," ₡7,404.41 "," ₡7,898.03 "," ₡8,885.29 "," ₡9,872.54 "," ₡11,600.23 ", (0.81)
10010068,ALKA GASTRIC * 36 TABLETAS," ₡2,333.33 "," ₡2,426.66 "," ₡2,683.33 "," ₡2,800.00 "," ₡3,033.33 "," ₡3,266.66 "," ₡3,500.00 "," ₡3,733.33 "," ₡4,199.99 "," ₡4,666.66 "," ₡5,483.33 ", (0.81)
10010061,ALKA-AD *12 TABLETAS," ₡5,583.33 "," ₡5,806.66 "," ₡6,420.83 "," ₡6,700.00 "," ₡7,258.33 "," ₡7,816.66 "," ₡8,375.00 "," ₡8,933.33 "," ₡10,049.99 "," ₡11,166.66 "," ₡13,120.83 ", (0.81)
10010064,ALKA-SELTZER * 60 TABLETAS," ₡1,338.24 "," ₡1,391.77 "," ₡1,538.98 "," ₡1,605.89 "," ₡1,739.71 "," ₡1,873.54 "," ₡2,007.36 "," ₡2,141.18 "," ₡2,408.83 "," ₡2,676.48 "," ₡3,144.86 ", (0.81)
10010063,ALKA-SELTZER EFERV *12 TABLETAS," ₡5,313.73 "," ₡5,526.28 "," ₡6,110.79 "," ₡6,376.48 "," ₡6,907.85 "," ₡7,439.22 "," ₡7,970.60 "," ₡8,501.97 "," ₡9,564.71 "," ₡10,627.46 "," ₡12,487.27 ", (0.81)
